gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g6390.t1,2395.555391523441,1.6830822425449756,0.17518232195770192,9.607603231514187,7.425732173876235e-22,1.7542315190759726e-19,33vs30
Montipora_capitata_HIv3___RNAseq.g4623.t1,25.008352205391166,-3.343061217902513,0.9858781794270781,-3.3909475710733967,6.96514240386608e-4,0.005810974289916896,33vs30
Montipora_capitata_HIv3___RNAseq.g8869.t1,37.2524838717115,-2.806543693927375,0.6468683395943816,-4.338662942890692,1.4335218081136395e-5,2.1609950077978407e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g6453.t1,358.964943723628,1.6452725976119151,0.21886493863458895,7.517296319255677,5.5920579495148224e-14,5.1224392053872004e-12,33vs30
Montipora_capitata_HIv3___RNAseq.g9556.t1,48.411284569033526,-1.9983790939163257,0.4092154444685241,-4.8834400581135355,1.0425085154602502e-6,2.257804328899075e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g32198.t1a,527.6693409199868,-1.6883898953170953,0.18373790537704465,-9.18912127496167,3.960634592567769e-20,7.485182471048602e-18,33vs30
Montipora_capitata_HIv3___RNAseq.g49943.t1,89.92359842872585,1.9617237616207408,0.47348458998897025,4.14316284647498,3.425485236874703e-5,4.610282004711276e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g30999.t1,22.003553794798766,-1.7454425090873007,0.5249375667153748,-3.3250478147503073,8.840337259554412e-4,0.007063614381755225,33vs30
Montipora_capitata_HIv3___TS.g15373.t1,131.90780369670898,1.9006598097139802,0.2809384206871903,6.765396505984711,1.3294460038319426e-11,8.287803316943992e-10,33vs30
Montipora_capitata_HIv3___RNAseq.g36665.t1,19.378377164665615,-6.525942851034713,1.3308095936446875,-4.903738958750753,9.40294303653655e-7,2.0612996248837266e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g22054.t1,131.73581286770974,-1.5021207669139753,0.3605593498238034,-4.166084633911242,3.098757006830936e-5,4.2251588242124316e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g49894.t1b,120.07288033356875,-1.508119082026098,0.23308038571887554,-6.470381784270258,9.77556066953837e-11,5.146933028178648e-9,33vs30
