Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q7SXS8		P51162	Q9BX26	Q32LQ4				
Q6ZN57		Q50LG9	Q66L44	Q32LQ4				
O43670		P22680	Q9NXJ5	Q6NWZ9				
O73688		A0A2P1BRQ0	P02680	Q4V909				
Q9Y3C5		Q9YGM8	Q9PVW7	Q32P65				
Q6P0T2		D4A9R4	Q2L6L1	Q00779				
Q8C7R4		A0A2R9YJI3	Q6DHC1	Q2V8Y7				
Q503X2		Q5CZR5	O43825	O15034				
Q8R4P9		P35331	Q6R2W3	P35072				
Q91WQ5		G3H0N9	A1L504	A9C3P0				
F8RT80		Q6DIV5	Q4V8T0	Q99JH1				
Q5R5P4		Q6AZL2	Q68Y62	O55128				
Q96M86		O42242	Q9Y2D0	Q6DRP2				
Q8VDW0		Q06985	P16301	Q99KK7				
Q3TX08		Q1LW01	Q8NCC3	Q569Z5				
Q96RE7		Q504N0	Q9PT92	Q6DI37				
P00348		Q96AD5	G3H0N9	Q0II29				
Q6DDT5		Q02241	Q9CQV6	P68373				
P23780		Q9DBR7	Q8I034	P11029				
O75879		Q0IHP2	Q7LHG5	O94972				
Q8TCQ1		Q58DW0	Q95SX7	O70351				
A7MCB7		Q9D6M3	Q9D8N3	Q6DRL5				
Q32LT7		P84335	Q96AD5	Q9R099				
Q8C2E4		O75132	P0C548	P34932				
A7UA95		P31943	Q3SZR9	Q8N264				
P02554		Q00547	P70550	A9JRI0				
P46199		O93390	Q9R013	P83571				
Q9H8E8		P28020	Q6PBN5	Q64343				
O43815		A6H584	Q8K1P8	Q9DED4				
Q9H501		P40313	P55931	A1A4R8				
P08579		Q91041	Q13231	P49069				
A0A1B0GVZ9		P79729	P50637	P30825				
Q5R7B3		Q14534	Q91WR8	Q86WZ6				
P17077		A0MSJ1	Q0MW30	Q3KTM2				
Q9BX93		O13067	Q9Y255	P08108				
Q78YZ6		Q9QXS1	Q5JV73	P97298				
P17289		O95393	Q17RB8	Q6PBV6				
P62321		Q9JKF1	A5HAK0	Q0VFH6				
Q9JHE5		Q27409	Q9BVK6	A7RZW4				
Q98T91		Q08CZ0	Q9Z255	Q9JHT5				
P04323		Q9D7U6	Q9EPZ8	O76062				
Q00536		Q9UPW8	A4Z943	P30044				
Q9Y4H2		Q15021	Q32LE3	P49321				
Q96LD4		Q4U3L0	Q98TT6	Q3U2U7				
