Sample	Unique Reads	Duplicate Reads
GM160_trimmed_clipped_R1_paired	6226724.0	1088852.0
GM160_trimmed_clipped_R2_paired	6216538.0	1099038.0
GM16_trimmed_clipped_R1_paired	6788872.0	1086191.0
GM16_trimmed_clipped_R2_paired	6743625.0	1131438.0
GM17_trimmed_clipped_R1_paired	5931993.0	961220.0
GM17_trimmed_clipped_R2_paired	5899735.0	993478.0
GM18_trimmed_clipped_R1_paired	6493560.0	992166.0
GM18_trimmed_clipped_R2_paired	6460759.0	1024967.0
GM19_trimmed_clipped_R1_paired	8443017.0	1570879.0
GM19_trimmed_clipped_R2_paired	8370308.0	1643588.0
GM1_trimmed_clipped_R1_paired	7112484.0	1181381.0
GM1_trimmed_clipped_R2_paired	7089617.0	1204248.0
GM20_trimmed_clipped_R1_paired	6328933.0	910336.0
GM20_trimmed_clipped_R2_paired	6298015.0	941254.0
GM21_trimmed_clipped_R1_paired	6340664.0	1028291.0
GM21_trimmed_clipped_R2_paired	6303423.0	1065532.0
GM22_trimmed_clipped_R1_paired	5796621.0	893755.0
GM22_trimmed_clipped_R2_paired	5768092.0	922284.0
GM23_trimmed_clipped_R1_paired	5946809.0	964372.0
GM23_trimmed_clipped_R2_paired	5917433.0	993748.0
GM24_trimmed_clipped_R1_paired	7208631.0	1216725.0
GM24_trimmed_clipped_R2_paired	7165438.0	1259918.0
GM25_trimmed_clipped_R1_paired	6623293.0	1024454.0
GM25_trimmed_clipped_R2_paired	6582309.0	1065438.0
GM26_trimmed_clipped_R1_paired	7612696.0	1319289.0
GM26_trimmed_clipped_R2_paired	7554433.0	1377552.0
GM27_trimmed_clipped_R1_paired	6373946.0	973210.0
GM27_trimmed_clipped_R2_paired	6335064.0	1012092.0
GM28_trimmed_clipped_R1_paired	7876963.0	1220871.0
GM28_trimmed_clipped_R2_paired	7828172.0	1269662.0
GM29_trimmed_clipped_R1_paired	6348182.0	1033409.0
GM29_trimmed_clipped_R2_paired	6308351.0	1073240.0
GM2_trimmed_clipped_R1_paired	5811328.0	896002.0
GM2_trimmed_clipped_R2_paired	5785933.0	921397.0
GM30_trimmed_clipped_R1_paired	6846495.0	1090788.0
GM30_trimmed_clipped_R2_paired	6799802.0	1137481.0
GM31_trimmed_clipped_R1_paired	6255348.0	1025736.0
GM31_trimmed_clipped_R2_paired	6221721.0	1059363.0
GM32_trimmed_clipped_R1_paired	7048867.0	1166226.0
GM32_trimmed_clipped_R2_paired	7011504.0	1203589.0
GM33_trimmed_clipped_R1_paired	5898403.0	990175.0
GM33_trimmed_clipped_R2_paired	5887458.0	1001120.0
GM34_trimmed_clipped_R1_paired	7860727.0	1189901.0
GM34_trimmed_clipped_R2_paired	7809472.0	1241156.0
GM35_trimmed_clipped_R1_paired	6486883.0	1115523.0
GM35_trimmed_clipped_R2_paired	6474099.0	1128307.0
GM36_trimmed_clipped_R1_paired	6273628.0	981264.0
GM36_trimmed_clipped_R2_paired	6226165.0	1028727.0
GM37_trimmed_clipped_R1_paired	7365818.0	1265989.0
GM37_trimmed_clipped_R2_paired	7318432.0	1313375.0
GM38_trimmed_clipped_R1_paired	7889630.0	1372086.0
GM38_trimmed_clipped_R2_paired	7845071.0	1416645.0
GM39_trimmed_clipped_R1_paired	6808643.0	1231454.0
GM39_trimmed_clipped_R2_paired	6757340.0	1282757.0
GM3_trimmed_clipped_R1_paired	6352435.0	1076909.0
GM3_trimmed_clipped_R2_paired	6314473.0	1114871.0
GM40_trimmed_clipped_R1_paired	7353472.0	1267854.0
GM40_trimmed_clipped_R2_paired	7299249.0	1322077.0
GM41_trimmed_clipped_R1_paired	7097684.0	1299962.0
GM41_trimmed_clipped_R2_paired	7038177.0	1359469.0
GM42_trimmed_clipped_R1_paired	7012892.0	1107476.0
GM42_trimmed_clipped_R2_paired	6976346.0	1144022.0
GM43_trimmed_clipped_R1_paired	5954877.0	899282.0
GM43_trimmed_clipped_R2_paired	5932749.0	921410.0
GM44_trimmed_clipped_R1_paired	6275605.0	1064422.0
GM44_trimmed_clipped_R2_paired	6239737.0	1100290.0
GM45_trimmed_clipped_R1_paired	7048875.0	1023303.0
GM45_trimmed_clipped_R2_paired	7009786.0	1062392.0
GM46_trimmed_clipped_R1_paired	8214727.0	1405864.0
GM46_trimmed_clipped_R2_paired	8193074.0	1427517.0
GM47_trimmed_clipped_R1_paired	6594238.0	1074834.0
GM47_trimmed_clipped_R2_paired	6544110.0	1124962.0
GM48_trimmed_clipped_R1_paired	6465956.0	975749.0
GM48_trimmed_clipped_R2_paired	6429382.0	1012323.0
GM49_trimmed_clipped_R1_paired	6493866.0	1144789.0
GM49_trimmed_clipped_R2_paired	6457900.0	1180755.0
GM4_trimmed_clipped_R1_paired	5822785.0	867535.0
GM4_trimmed_clipped_R2_paired	5794910.0	895410.0
GM50_trimmed_clipped_R1_paired	6662651.0	1168624.0
GM50_trimmed_clipped_R2_paired	6625019.0	1206256.0
GM51_trimmed_clipped_R1_paired	6917547.0	1117975.0
GM51_trimmed_clipped_R2_paired	6857060.0	1178462.0
GM52_trimmed_clipped_R1_paired	6331174.0	1005939.0
GM52_trimmed_clipped_R2_paired	6306271.0	1030842.0
GM53_trimmed_clipped_R1_paired	6503906.0	1118315.0
GM53_trimmed_clipped_R2_paired	6482974.0	1139247.0
GM54_trimmed_clipped_R1_paired	6064428.0	944876.0
GM54_trimmed_clipped_R2_paired	6038643.0	970661.0
GM55_trimmed_clipped_R1_paired	6611104.0	1174959.0
GM55_trimmed_clipped_R2_paired	6572291.0	1213772.0
GM56_trimmed_clipped_R1_paired	6054997.0	930234.0
GM56_trimmed_clipped_R2_paired	6037368.0	947863.0
GM57_trimmed_clipped_R1_paired	6531594.0	1037759.0
GM57_trimmed_clipped_R2_paired	6506406.0	1062947.0
GM58_trimmed_clipped_R1_paired	6728550.0	1001989.0
GM58_trimmed_clipped_R2_paired	6684537.0	1046002.0
GM59_trimmed_clipped_R1_paired	8033959.0	1313366.0
GM59_trimmed_clipped_R2_paired	7990904.0	1356421.0
GM5_trimmed_clipped_R1_paired	5607271.0	895291.0
GM5_trimmed_clipped_R2_paired	5580404.0	922158.0
GM60_trimmed_clipped_R1_paired	7737929.0	1267772.0
GM60_trimmed_clipped_R2_paired	7708468.0	1297233.0
GM61_trimmed_clipped_R1_paired	7739210.0	1271568.0
GM61_trimmed_clipped_R2_paired	7709249.0	1301529.0
GM62_trimmed_clipped_R1_paired	6488758.0	1016963.0
GM62_trimmed_clipped_R2_paired	6477960.0	1027761.0
GM63_trimmed_clipped_R1_paired	6699307.0	1259623.0
GM63_trimmed_clipped_R2_paired	6668179.0	1290751.0
GM64_trimmed_clipped_R1_paired	7914495.0	1318127.0
GM64_trimmed_clipped_R2_paired	7896912.0	1335710.0
GM65_trimmed_clipped_R1_paired	6127475.0	953363.0
GM65_trimmed_clipped_R2_paired	6089177.0	991661.0
GM66_trimmed_clipped_R1_paired	7876015.0	1251788.0
GM66_trimmed_clipped_R2_paired	7842748.0	1285055.0
GM67_trimmed_clipped_R1_paired	7718629.0	1275679.0
GM67_trimmed_clipped_R2_paired	7682029.0	1312279.0
GM68_trimmed_clipped_R1_paired	6838505.0	1006193.0
GM68_trimmed_clipped_R2_paired	6803394.0	1041304.0
GM69_trimmed_clipped_R1_paired	8042429.0	1538592.0
GM69_trimmed_clipped_R2_paired	8001582.0	1579439.0
GM6_trimmed_clipped_R1_paired	7295827.0	1104170.0
GM6_trimmed_clipped_R2_paired	7264913.0	1135084.0
GM70_trimmed_clipped_R1_paired	7284998.0	1065532.0
GM70_trimmed_clipped_R2_paired	7256751.0	1093779.0
GM71_trimmed_clipped_R1_paired	7821395.0	1238441.0
GM71_trimmed_clipped_R2_paired	7775855.0	1283981.0
GM72_trimmed_clipped_R1_paired	6160010.0	970320.0
GM72_trimmed_clipped_R2_paired	6134793.0	995537.0
GM73_trimmed_clipped_R1_paired	6922736.0	1221772.0
GM73_trimmed_clipped_R2_paired	6887819.0	1256689.0
GM74_trimmed_clipped_R1_paired	8306050.0	1346447.0
GM74_trimmed_clipped_R2_paired	8273562.0	1378935.0
GM75_trimmed_clipped_R1_paired	6380927.0	1045933.0
GM75_trimmed_clipped_R2_paired	6363032.0	1063828.0
GM76_trimmed_clipped_R1_paired	7530039.0	1195042.0
GM76_trimmed_clipped_R2_paired	7474250.0	1250831.0
GM77_trimmed_clipped_R1_paired	8022640.0	1355063.0
GM77_trimmed_clipped_R2_paired	7977052.0	1400651.0
GM78_trimmed_clipped_R1_paired	6727646.0	1090841.0
GM78_trimmed_clipped_R2_paired	6723677.0	1094810.0
GM79_trimmed_clipped_R1_paired	7092765.0	1211129.0
GM79_trimmed_clipped_R2_paired	7049055.0	1254839.0
GM7_trimmed_clipped_R1_paired	5779918.0	896957.0
GM7_trimmed_clipped_R2_paired	5742486.0	934389.0
GM80_trimmed_clipped_R1_paired	6057082.0	844604.0
GM80_trimmed_clipped_R2_paired	6015029.0	886657.0
GM81_trimmed_clipped_R1_paired	5976078.0	888221.0
GM81_trimmed_clipped_R2_paired	5941797.0	922502.0
GM82_trimmed_clipped_R1_paired	8134162.0	1226380.0
