Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q91ZJ5	O43143	P17248	Q6DHB1	P35072	Q5RD69
Q8WMD0	D6RIA3	Q5R4H6	Q95SX7	Q1JPY8	Q32PL8
P49767	Q7T326	Q9BQQ7	Q5U204	O75342	P12246
F1QPC3	A4F4L4	Q7ZXY0	Q49AG3	Q6MFZ5	Q68F79
Q9HCI6	Q32PL8	P57105	Q8I7P9	Q9HCM9	Q29RV0
Q9GJS9	Q6DIC0	B2RZ50	P14381	Q6MFZ5	Q6DIC0
Q01484	Q7TNC4	Q28HU3	P0CT40	Q9UJW8	Q9Y2H9
Q68CP4	Q27960	O96028	Q13255	Q5R5U3	Q6I7B0
O97827	Q28GQ3	Q95JP6	Q3V1H9	Q5R5U3	Q27960
Q64487	Q5XJD3	P14381	Q9JIL5	Q6I6G8	Q28GQ3
Q9UHD8	E1B7L7	Q7RTR2	Q5SPC5	P51871	Q90X99
P60003	Q9CQA1	A2V9Y8	P56476	Q2KIG3	Q90X99
Q9Y3C5	Q8VDW0	Q3UA06	Q0V989	P20059	P04323
O73688	Q96RE7	Q5RBK1	Q5T5X7	A0ZSK4	P50533
Q9NUV9	Q3TX08	Q5I2W8	P18625	E9QAG8	Q5ZIB8
Q9Z1N0	Q7T292	Q6DHF7	P27120	O43345	P14105
F1QGZ6	P00504	Q6DHC3	F1QAJ4	E9QAG8	Q8VDW0
Q641Z2	O97649	O00300	Q9UL68	E9QAG8	Q5YB40
Q8IWE2	Q15034	Q924S4	Q5F362	Q62158	Q15438
P57682	Q15034	Q9ET22	Q99715	Q1XHU0	Q5XIG2
Q5ZLK8	P35072	Q08CX1	O00214	Q62158	Q6INE5
Q6DI48	Q92828	Q1JP73	B1WBU4	Q62158	Q08DZ3
Q11212	P31230	Q6DRJ7	Q13310	P04323	Q9EPR2
B0BM24	Q6DDT5	Q3T0M7	Q69D47	P15146	Q3T0P5
P14380	Q68FR3	Q9Z0J5	Q86UP8	Q58H57	P00348
P20595	Q6N021	Q9EQ15	Q0IHV1	O75629	Q9CX98
A0A0R4IVV0	P23780	P07354	Q27J81	A0A0U1RQI7	Q80Z37
Q68VK5	Q32LC9	A5PJT0	O73755	Q7RTR2	P0CB94
Q86UE6	Q6P2P2	P79110	O35806	Q03110	Q80UM7
P25100	O75879	Q9Z1X9	Q5SPB6	Q5XNS0	Q9NWM0
Q62511	Q9H773	Q32LQ4	A0JPI9	O46419	Q5SZK8
Q5R5P4	F1MNN4	Q6NWZ9	Q8BQM8	Q6DHB1	Q96QV1
Q96M86	A7MCB7	Q3T0J1	Q9P2D8	P0CT40	Q96QV1
Q96M86	Q5XGB9	Q29551	P48722	P26325	P61222
Q60935	O43290	Q9H777	Q5DU00	Q149N8	Q9N0W7
Q9Y2H9	Q99J36	Q2KIY1	Q7RTR2	Q5RAR5	Q9IAC6
Q2M2S2	O95453	Q00779	Q6NWW9	Q9JIL5	P23356
Q6I7B0	Q32LT7	P35072	P50591	Q62556	Q5XGB9
Q8VEK2	Q96ME1	Q0P5A7	Q09139	Q8N3C7	Q5RKN3
Q9WVS9	Q8C2E4	Q9NQR1	Q03692	P27120	Q499E5
P50533	Q96IR2	P14381	Q05017	Q13310	O70209
P00717	Q1RLU1	Q9BYZ6	O14770	Q0V7M8	P53367
Q4QY71	O35716	Q7ZT48	P01666	Q2KJ24	Q5BKS4
Q866Y3	Q17770	Q2V8Y7	P01666	Q498L0	P53350
