Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q9NTN9	Q8K1S5	P98199	Q9UKT7	B8A5I7	Q12904	Q5F364	P24724	O14530
P79944	Q9NVS2	Q9I919	A2TJ54	Q86WB0	Q6DDT5	P98161	Q63186	P20768
P55918	Q9Y6M5	Q5RCB8	F1QCN0	Q2HJ56	Q9TRY9	F1MV99	Q8N8E3	Q93008
Q9JKF8	P51955	Q502C1	Q8AXQ3	Q9HBU6	Q7T010	Q96G27	Q6DI51	Q7ZUP1
F1R2X6	Q5SPB6	Q02084	A0MS83	Q5RGV1	Q9H773	Q9NWM0	A1L390	P47872
Q90ZY4	Q9NV58	B9EJI9	Q61371	Q9NYB5	Q99J36	Q499E5	Q9WUF3	Q9PRL8
F1PT61	Q922R8	Q12923	P20768	O13154	P62205	Q9BGL2	Q9NU22	P80931
Q9HBT8	B3VSB7	Q96JM2	Q8N3U4	Q5BKT4	P30883	Q6IPM2	Q9Z191	P18291
Q6DIN3	Q8BLU0	Q61830	Q6P0V6	Q5PPI9	Q8WXD5	Q9Y5X2	Q9EQ20	P20171
Q6ZWJ1	Q5T160	Q5U2Z7	O42410	Q503J2	P42695	A7UA95	O43524	Q9IA88
Q502I3	P60901	Q6P7G9	Q2KJ96	Q5HZT9	Q5U378	Q3U129	Q90515	Q567E6
Q5R7P6	Q6DHU8	Q5XNR9	P47872	O57478	Q8R2E9	Q9Y3B2	Q9C098	Q8TE68
Q04721	P07099	Q92529	Q9PRL8	A2T929	P08579	P98160	Q9PVE4	P51689
Q9N126	Q7T163	Q6PGY5	P80931	P63150	Q6J9G0	P58405	D3ZHV2	Q9WV84
Q7ZWC4	Q07352	Q9BYV1	P18291	A2RUB1	A0A1B0GVZ9	O18765	Q7ZVN7	Q6SA80
Q7TNV1	Q2Q0I9	Q60793	Q9IA88	Q498M4	P27088	O18765	F6NSX9	Q6P995
P02454	Q9NZN3	Q61831	A8WG43	X1WGX5	Q14258	P47971	Q6DIN3	P07589
Q7TN37	Q3ZBT5	P49796	Q5BL35	Q6P158	Q9BX93	P55198	Q1L8L6	Q5ZHW4
Q80WE4	Q62446	P97682	Q567E6	Q9ULQ0	B1AR13	Q6P2T7	Q3ZBF8	Q2M2S8
