Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GM89_R2	13.264736791831808	46.0	150.0	0.0	8734014.0
GM8_R1	14.437949876263929	45.0	150.0	0.0	6864156.0
GM8_R2	14.041072948903022	45.0	150.0	0.0	6864156.0
GM90_R1	14.37643977749731	46.0	150.0	0.0	7970821.0
GM90_R2	13.974570430347455	46.0	150.0	0.0	7970821.0
GM91_R1	14.603503973586257	45.0	150.0	0.0	7608868.0
GM91_R2	14.182421144887343	46.0	150.0	0.0	7608868.0
GM92_R1	13.019740196129476	45.0	150.0	0.0	6701584.0
GM92_R2	12.276925658199474	46.0	150.0	0.0	6701584.0
GM93_R1	15.538325751793792	46.0	150.0	0.0	8819203.0
GM93_R2	15.115901915736714	46.0	150.0	0.0	8819203.0
GM94_R1	13.641237059493605	45.0	150.0	0.0	6727330.0
GM94_R2	11.709692972200557	46.0	150.0	0.0	6727330.0
GM95_R1	15.010602648086518	45.0	150.0	0.0	8152300.0
GM95_R2	14.289861913065735	46.0	150.0	0.0	8152300.0
GM96_R1	15.236220167251844	46.0	150.0	0.0	8530564.0
GM96_R2	14.604677184617827	46.0	150.0	0.0	8530564.0
GM97_R1	14.75874211083773	45.0	150.0	0.0	7493536.0
GM97_R2	14.352857559630152	45.0	150.0	0.0	7493536.0
GM98_R1	14.012252634212501	45.0	150.0	0.0	8292475.0
GM98_R2	13.46012983932205	46.0	150.0	0.0	8292475.0
GM99_R1	16.195168032313518	45.0	150.0	0.0	8037338.0
GM99_R2	15.409554126855639	46.0	150.0	0.0	8037338.0
GM9_R1	15.58396180070639	45.0	150.0	0.0	7428594.0
GM9_R2	14.968271294523973	45.0	150.0	0.0	7428594.0
